Name,NationalDex,PrimaryType,SecondaryType,HasSecondaryType,Generation,IsLegendary,Form,AltFormFlag,EvolutionStage,NumOfEvolutions,ColorID,CatchRate,Height_in,Weight_lbs,BaseStatToal,Health,Attack,Defense,SpAttack,SpDefense,Speed
pichu,172,electric,,FALSE,generation-ii,0,Base,FALSE,1,3,yellow,190,12,4,205,20,40,15,35,35,60
cleffa,173,fairy,,FALSE,generation-ii,0,Base,FALSE,1,3,pink,150,12,7,218,50,25,28,45,55,15
igglybuff,174,normal,fairy,TRUE,generation-ii,0,Base,FALSE,1,3,pink,170,12,2,210,90,30,15,40,20,15
togepi,175,fairy,,FALSE,generation-ii,0,Base,FALSE,1,3,white,190,12,3,245,35,20,65,40,65,20
togetic,176,fairy,flying,TRUE,generation-ii,0,Base,FALSE,2,3,white,75,24,7,405,55,40,85,80,105,40
natu,177,psychic,flying,TRUE,generation-ii,0,Base,FALSE,1,2,green,190,8,4,320,40,50,45,70,45,70
xatu,178,psychic,flying,TRUE,generation-ii,0,Base,FALSE,2,2,green,75,59,33,470,65,75,70,95,70,95
mareep,179,electric,,FALSE,generation-ii,0,Base,FALSE,1,3,white,235,24,17,280,55,40,40,65,45,35
flaaffy,180,electric,,FALSE,generation-ii,0,Base,FALSE,2,3,pink,120,31,29,365,70,55,55,80,60,45
ampharos,181,electric,,FALSE,generation-ii,0,Base,FALSE,3,3,yellow,45,55,136,510,90,75,85,115,90,55
ampharos-mega,181,electric,dragon,TRUE,generation-ii,1,Mega,TRUE,3,3,yellow,45,55,136,610,90,95,105,165,110,45
bellossom,182,grass,,FALSE,generation-ii,0,Base,FALSE,3,3,green,45,16,13,490,75,80,95,90,100,50
marill,183,water,fairy,TRUE,generation-ii,0,Base,FALSE,2,3,blue,190,16,19,250,70,20,50,20,50,40
azumarill,184,water,fairy,TRUE,generation-ii,0,Base,FALSE,3,3,blue,75,31,63,420,100,50,80,60,80,50
sudowoodo,185,rock,,FALSE,generation-ii,0,Base,FALSE,2,2,brown,65,47,84,410,70,100,115,30,65,30
politoed,186,water,,FALSE,generation-ii,0,Base,FALSE,3,3,green,45,43,75,500,90,75,75,90,100,70
hoppip,187,grass,flying,TRUE,generation-ii,0,Base,FALSE,1,3,pink,255,16,1,250,35,35,40,35,55,50
skiploom,188,grass,flying,TRUE,generation-ii,0,Base,FALSE,2,3,green,120,24,2,340,55,45,50,45,65,80
jumpluff,189,grass,flying,TRUE,generation-ii,0,Base,FALSE,3,3,blue,45,31,7,460,75,55,70,55,95,110
aipom,190,normal,,FALSE,generation-ii,0,Base,FALSE,1,2,purple,45,31,25,360,55,70,55,40,55,85
sunkern,191,grass,,FALSE,generation-ii,0,Base,FALSE,1,2,yellow,235,12,4,180,30,30,30,30,30,30
sunflora,192,grass,,FALSE,generation-ii,0,Base,FALSE,2,2,yellow,120,31,19,425,75,75,55,105,85,30
yanma,193,bug,flying,TRUE,generation-ii,0,Base,FALSE,1,2,red,75,47,84,390,65,65,45,75,45,95
wooper,194,water,ground,TRUE,generation-ii,0,Base,FALSE,1,2,blue,255,16,19,210,55,45,45,25,25,15
wooper-paldea,194,poison,ground,TRUE,generation-ii,0,Paldean,TRUE,1,2,blue,255,16,24,210,55,45,45,25,25,15
quagsire,195,water,ground,TRUE,generation-ii,0,Base,FALSE,2,2,blue,90,55,165,430,95,85,85,65,65,35
espeon,196,psychic,,FALSE,generation-ii,0,Base,FALSE,2,2,purple,45,35,58,525,65,65,60,130,95,110
umbreon,197,dark,,FALSE,generation-ii,0,Base,FALSE,2,2,black,45,39,60,525,95,65,110,60,130,65
murkrow,198,dark,flying,TRUE,generation-ii,0,Base,FALSE,1,2,black,30,20,5,405,60,85,42,85,42,91
slowking,199,water,psychic,TRUE,generation-ii,0,Base,FALSE,2,2,pink,70,79,175,490,95,75,80,100,110,30
slowking-galar,199,poison,psychic,TRUE,generation-ii,0,Galarian,TRUE,2,2,pink,70,71,175,490,95,65,80,110,110,30
misdreavus,200,ghost,,FALSE,generation-ii,0,Base,FALSE,1,2,gray,45,28,2,435,60,60,60,85,85,85
unown,201,psychic,,FALSE,generation-ii,0,Base,FALSE,1,1,black,225,20,11,336,48,72,48,72,48,48
wobbuffet,202,psychic,,FALSE,generation-ii,0,Base,FALSE,2,2,blue,45,51,63,405,190,33,58,33,58,33
girafarig,203,normal,psychic,TRUE,generation-ii,0,Base,FALSE,1,2,yellow,60,59,91,455,70,80,65,90,65,85
pineco,204,bug,,FALSE,generation-ii,0,Base,FALSE,1,2,gray,190,24,16,290,50,65,90,35,35,15
forretress,205,bug,steel,TRUE,generation-ii,0,Base,FALSE,2,2,purple,75,47,277,465,75,90,140,60,60,40
dunsparce,206,normal,,FALSE,generation-ii,0,Base,FALSE,1,2,yellow,190,59,31,415,100,70,70,65,65,45
gligar,207,ground,flying,TRUE,generation-ii,0,Base,FALSE,1,2,purple,60,43,143,430,65,75,105,35,65,85
steelix,208,steel,ground,TRUE,generation-ii,0,Base,FALSE,2,2,gray,25,362,882,510,75,85,200,55,65,30
steelix-mega,208,steel,ground,TRUE,generation-ii,1,Mega,TRUE,2,2,gray,25,413,1631,610,75,125,230,55,95,30
snubbull,209,fairy,,FALSE,generation-ii,0,Base,FALSE,1,2,pink,190,24,17,300,60,80,50,40,40,30
granbull,210,fairy,,FALSE,generation-ii,0,Base,FALSE,2,2,purple,75,55,107,450,90,120,75,60,60,45
qwilfish,211,water,poison,TRUE,generation-ii,0,Base,FALSE,1,2,gray,45,20,9,440,65,95,85,55,55,85
qwilfish-hisui,211,dark,poison,TRUE,generation-ii,0,Hisuian,TRUE,1,2,gray,45,20,9,440,65,95,85,55,55,85
scizor,212,bug,steel,TRUE,generation-ii,0,Base,FALSE,2,2,red,25,71,260,500,70,130,100,55,80,65
scizor-mega,212,bug,steel,TRUE,generation-ii,1,Mega,TRUE,2,2,red,25,79,276,600,70,150,140,65,100,75
shuckle,213,bug,rock,TRUE,generation-ii,0,Base,FALSE,1,1,yellow,190,24,45,505,20,10,230,10,230,5
heracross,214,bug,fighting,TRUE,generation-ii,0,Base,FALSE,1,1,blue,45,59,119,500,80,125,75,40,95,85
heracross-mega,214,bug,fighting,TRUE,generation-ii,1,Mega,TRUE,1,1,blue,45,67,138,600,80,185,115,40,105,75
sneasel,215,dark,ice,TRUE,generation-ii,0,Base,FALSE,1,2,black,60,35,62,430,55,95,55,35,75,115
sneasel-hisui,215,fighting,poison,TRUE,generation-ii,0,Hisuian,TRUE,1,2,black,60,35,60,430,55,95,55,35,75,115
teddiursa,216,normal,,FALSE,generation-ii,0,Base,FALSE,1,3,brown,120,24,19,330,60,80,50,50,50,40
ursaring,217,normal,,FALSE,generation-ii,0,Base,FALSE,2,3,brown,60,71,277,500,90,130,75,75,75,55
slugma,218,fire,,FALSE,generation-ii,0,Base,FALSE,1,2,red,190,28,77,250,40,40,40,70,40,20
magcargo,219,fire,rock,TRUE,generation-ii,0,Base,FALSE,2,2,red,75,31,121,430,60,50,120,90,80,30
swinub,220,ice,ground,TRUE,generation-ii,0,Base,FALSE,1,3,brown,225,16,14,250,50,50,40,30,30,50
piloswine,221,ice,ground,TRUE,generation-ii,0,Base,FALSE,2,3,brown,75,43,123,450,100,100,80,60,60,50
corsola,222,water,rock,TRUE,generation-ii,0,Base,FALSE,1,2,pink,60,24,11,410,65,55,95,65,95,35
corsola-galar,222,ghost,,FALSE,generation-ii,0,Galarian,TRUE,1,2,pink,60,24,1,410,60,55,100,65,100,30
remoraid,223,water,,FALSE,generation-ii,0,Base,FALSE,1,2,gray,190,24,26,300,35,65,35,65,35,65
octillery,224,water,,FALSE,generation-ii,0,Base,FALSE,2,2,red,75,35,63,480,75,105,75,105,75,45
delibird,225,ice,flying,TRUE,generation-ii,0,Base,FALSE,1,1,red,45,35,35,330,45,55,45,65,45,75
mantine,226,water,flying,TRUE,generation-ii,0,Base,FALSE,2,2,purple,25,83,485,485,85,40,70,80,140,70
skarmory,227,steel,flying,TRUE,generation-ii,0,Base,FALSE,1,1,gray,25,67,111,465,65,80,140,40,70,70
houndour,228,dark,fire,TRUE,generation-ii,0,Base,FALSE,1,2,black,120,24,24,330,45,60,30,80,50,65
houndoom,229,dark,fire,TRUE,generation-ii,0,Base,FALSE,2,2,black,45,55,77,500,75,90,50,110,80,95
houndoom-mega,229,dark,fire,TRUE,generation-ii,1,Mega,TRUE,2,2,black,45,75,109,600,75,90,90,140,90,115
kingdra,230,water,dragon,TRUE,generation-ii,0,Base,FALSE,3,3,blue,45,71,335,540,75,95,95,95,95,85
phanpy,231,ground,,FALSE,generation-ii,0,Base,FALSE,1,2,blue,120,20,74,330,90,60,60,40,40,40
donphan,232,ground,,FALSE,generation-ii,0,Base,FALSE,2,2,gray,60,43,265,500,90,120,120,60,60,50
porygon2,233,normal,,FALSE,generation-ii,0,Base,FALSE,2,3,red,45,24,72,515,85,80,90,105,95,60
stantler,234,normal,,FALSE,generation-ii,0,Base,FALSE,1,2,brown,45,55,157,465,73,95,62,85,65,85
smeargle,235,normal,,FALSE,generation-ii,0,Base,FALSE,1,1,white,45,47,128,250,55,20,35,20,45,75
tyrogue,236,fighting,,FALSE,generation-ii,0,Base,FALSE,1,2,purple,75,28,46,210,35,35,35,35,35,35
hitmontop,237,fighting,,FALSE,generation-ii,0,Base,FALSE,2,2,brown,45,55,106,455,50,95,95,35,110,70
smoochum,238,ice,psychic,TRUE,generation-ii,0,Base,FALSE,1,2,pink,45,16,13,305,45,30,15,85,65,65
elekid,239,electric,,FALSE,generation-ii,0,Base,FALSE,1,3,yellow,45,24,52,360,45,63,37,65,55,95
magby,240,fire,,FALSE,generation-ii,0,Base,FALSE,1,3,red,45,28,47,365,45,75,37,70,55,83
miltank,241,normal,,FALSE,generation-ii,0,Base,FALSE,1,1,pink,45,47,166,490,95,80,105,40,70,100
blissey,242,normal,,FALSE,generation-ii,0,Base,FALSE,3,3,pink,30,59,103,540,255,10,10,75,135,55
raikou,243,electric,,FALSE,generation-ii,1,Base,FALSE,1,1,yellow,3,75,392,580,90,85,75,115,100,115
entei,244,fire,,FALSE,generation-ii,1,Base,FALSE,1,1,brown,3,83,437,580,115,115,85,90,75,100
suicune,245,water,,FALSE,generation-ii,1,Base,FALSE,1,1,blue,3,79,412,580,100,75,115,90,115,85
larvitar,246,rock,ground,TRUE,generation-ii,0,Base,FALSE,1,3,green,45,24,159,300,50,64,50,45,50,41
pupitar,247,rock,ground,TRUE,generation-ii,0,Base,FALSE,2,3,gray,45,47,335,410,70,84,70,65,70,51
tyranitar,248,rock,dark,TRUE,generation-ii,0,Base,FALSE,3,3,green,45,79,445,600,100,134,110,95,100,61
tyranitar-mega,248,rock,dark,TRUE,generation-ii,1,Mega,TRUE,3,3,green,45,98,562,700,100,164,150,95,120,71
lugia,249,psychic,flying,TRUE,generation-ii,1,Base,FALSE,1,1,white,3,205,476,680,106,90,130,90,154,110
ho-oh,250,fire,flying,TRUE,generation-ii,1,Base,FALSE,1,1,red,3,150,439,680,106,130,90,110,154,90
celebi,251,psychic,grass,TRUE,generation-ii,1,Base,FALSE,1,1,green,45,24,11,600,100,100,100,100,100,100
treecko,252,grass,,FALSE,generation-iii,0,Base,FALSE,1,3,green,45,20,11,310,40,45,35,65,55,70
grovyle,253,grass,,FALSE,generation-iii,0,Base,FALSE,2,3,green,45,35,48,405,50,65,45,85,65,95
sceptile,254,grass,,FALSE,generation-iii,0,Base,FALSE,3,3,green,45,67,115,530,70,85,65,105,85,120
sceptile-mega,254,grass,dragon,TRUE,generation-iii,1,Mega,TRUE,3,3,green,45,75,122,630,70,110,75,145,85,145
torchic,255,fire,,FALSE,generation-iii,0,Base,FALSE,1,3,red,45,16,6,310,45,60,40,70,50,45
combusken,256,fire,fighting,TRUE,generation-iii,0,Base,FALSE,2,3,red,45,35,43,405,60,85,60,85,60,55
blaziken,257,fire,fighting,TRUE,generation-iii,0,Base,FALSE,3,3,red,45,75,115,530,80,120,70,110,70,80
blaziken-mega,257,fire,fighting,TRUE,generation-iii,1,Mega,TRUE,3,3,red,45,75,115,630,80,160,80,130,80,100
mudkip,258,water,,FALSE,generation-iii,0,Base,FALSE,1,3,blue,45,16,17,310,50,70,50,50,50,40
marshtomp,259,water,ground,TRUE,generation-iii,0,Base,FALSE,2,3,blue,45,28,62,405,70,85,70,60,70,50
swampert,260,water,ground,TRUE,generation-iii,0,Base,FALSE,3,3,blue,45,59,181,535,100,110,90,85,90,60
swampert-mega,260,water,ground,TRUE,generation-iii,1,Mega,TRUE,3,3,blue,45,75,225,635,100,150,110,95,110,70
poochyena,261,dark,,FALSE,generation-iii,0,Base,FALSE,1,2,gray,255,20,30,220,35,55,35,30,30,35
mightyena,262,dark,,FALSE,generation-iii,0,Base,FALSE,2,2,gray,127,39,82,420,70,90,70,60,60,70
zigzagoon,263,normal,,FALSE,generation-iii,0,Base,FALSE,1,3,brown,255,16,39,240,38,30,41,30,41,60
zigzagoon-galar,263,dark,normal,TRUE,generation-iii,0,Galarian,TRUE,1,3,brown,255,16,39,240,38,30,41,30,41,60
linoone,264,normal,,FALSE,generation-iii,0,Base,FALSE,2,3,white,90,20,72,420,78,70,61,50,61,100
linoone-galar,264,dark,normal,TRUE,generation-iii,0,Galarian,TRUE,2,3,white,90,20,72,420,78,70,61,50,61,100
wurmple,265,bug,,FALSE,generation-iii,0,Base,FALSE,1,3,red,255,12,8,195,45,45,35,20,30,20
silcoon,266,bug,,FALSE,generation-iii,0,Base,FALSE,2,3,white,120,24,22,205,50,35,55,25,25,15
beautifly,267,bug,flying,TRUE,generation-iii,0,Base,FALSE,3,3,yellow,45,39,63,395,60,70,50,100,50,65
cascoon,268,bug,,FALSE,generation-iii,0,Base,FALSE,2,3,purple,120,28,25,205,50,35,55,25,25,15
dustox,269,bug,poison,TRUE,generation-iii,0,Base,FALSE,3,3,green,45,47,70,385,60,50,70,50,90,65
lotad,270,water,grass,TRUE,generation-iii,0,Base,FALSE,1,3,green,255,20,6,220,40,30,30,40,50,30
lombre,271,water,grass,TRUE,generation-iii,0,Base,FALSE,2,3,green,120,47,72,340,60,50,50,60,70,50
ludicolo,272,water,grass,TRUE,generation-iii,0,Base,FALSE,3,3,green,45,59,121,480,80,70,70,90,100,70
seedot,273,grass,,FALSE,generation-iii,0,Base,FALSE,1,3,brown,255,20,9,220,40,40,50,30,30,30
nuzleaf,274,grass,dark,TRUE,generation-iii,0,Base,FALSE,2,3,brown,120,39,62,340,70,70,40,60,40,60
shiftry,275,grass,dark,TRUE,generation-iii,0,Base,FALSE,3,3,brown,45,51,131,480,90,100,60,90,60,80
taillow,276,normal,flying,TRUE,generation-iii,0,Base,FALSE,1,2,blue,200,12,5,270,40,55,30,30,30,85
swellow,277,normal,flying,TRUE,generation-iii,0,Base,FALSE,2,2,blue,45,28,44,455,60,85,60,75,50,125
wingull,278,water,flying,TRUE,generation-iii,0,Base,FALSE,1,2,white,190,24,21,270,40,30,30,55,30,85
pelipper,279,water,flying,TRUE,generation-iii,0,Base,FALSE,2,2,yellow,45,47,62,440,60,50,100,95,70,65
ralts,280,psychic,fairy,TRUE,generation-iii,0,Base,FALSE,1,3,white,235,16,15,198,28,25,25,45,35,40
kirlia,281,psychic,fairy,TRUE,generation-iii,0,Base,FALSE,2,3,white,120,31,45,278,38,35,35,65,55,50
gardevoir,282,psychic,fairy,TRUE,generation-iii,0,Base,FALSE,3,3,white,45,63,107,518,68,65,65,125,115,80
gardevoir-mega,282,psychic,fairy,TRUE,generation-iii,1,Mega,TRUE,3,3,white,45,63,107,618,68,85,65,165,135,100
surskit,283,bug,water,TRUE,generation-iii,0,Base,FALSE,1,2,blue,200,20,4,269,40,30,32,50,52,65
masquerain,284,bug,flying,TRUE,generation-iii,0,Base,FALSE,2,2,blue,75,31,8,454,70,60,62,100,82,80
shroomish,285,grass,,FALSE,generation-iii,0,Base,FALSE,1,2,brown,255,16,10,295,60,40,60,40,60,35
breloom,286,grass,fighting,TRUE,generation-iii,0,Base,FALSE,2,2,green,90,47,86,460,60,130,80,60,60,70
slakoth,287,normal,,FALSE,generation-iii,0,Base,FALSE,1,3,brown,255,31,53,280,60,60,60,35,35,30
vigoroth,288,normal,,FALSE,generation-iii,0,Base,FALSE,2,3,white,120,55,103,440,80,80,80,55,55,90
slaking,289,normal,,FALSE,generation-iii,0,Base,FALSE,3,3,brown,45,79,288,670,150,160,100,95,65,100
nincada,290,bug,ground,TRUE,generation-iii,0,Base,FALSE,1,2,gray,255,20,12,266,31,45,90,30,30,40
ninjask,291,bug,flying,TRUE,generation-iii,0,Base,FALSE,2,2,yellow,120,31,26,456,61,90,45,50,50,160
shedinja,292,bug,ghost,TRUE,generation-iii,0,Base,FALSE,2,2,brown,45,31,3,236,1,90,45,30,30,40
whismur,293,normal,,FALSE,generation-iii,0,Base,FALSE,1,3,pink,190,24,36,240,64,51,23,51,23,28
loudred,294,normal,,FALSE,generation-iii,0,Base,FALSE,2,3,blue,120,39,89,360,84,71,43,71,43,48
exploud,295,normal,,FALSE,generation-iii,0,Base,FALSE,3,3,blue,45,59,185,490,104,91,63,91,73,68
makuhita,296,fighting,,FALSE,generation-iii,0,Base,FALSE,1,2,yellow,180,39,190,237,72,60,30,20,30,25
hariyama,297,fighting,,FALSE,generation-iii,0,Base,FALSE,2,2,brown,200,91,560,474,144,120,60,40,60,50
azurill,298,normal,fairy,TRUE,generation-iii,0,Base,FALSE,1,3,blue,150,8,4,190,50,20,40,20,40,20
nosepass,299,rock,,FALSE,generation-iii,0,Base,FALSE,1,2,gray,255,39,214,375,30,45,135,45,90,30
skitty,300,normal,,FALSE,generation-iii,0,Base,FALSE,1,2,pink,255,24,24,260,50,45,45,35,35,50
delcatty,301,normal,,FALSE,generation-iii,0,Base,FALSE,2,2,purple,60,43,72,400,70,65,65,55,55,90
sableye,302,dark,ghost,TRUE,generation-iii,0,Base,FALSE,1,1,purple,45,20,24,380,50,75,75,65,65,50
sableye-mega,302,dark,ghost,TRUE,generation-iii,1,Mega,TRUE,1,1,purple,45,20,355,480,50,85,125,85,115,20
mawile,303,steel,fairy,TRUE,generation-iii,0,Base,FALSE,1,1,black,45,24,25,380,50,85,85,55,55,50
mawile-mega,303,steel,fairy,TRUE,generation-iii,1,Mega,TRUE,1,1,black,45,39,52,480,50,105,125,55,95,50
aron,304,steel,rock,TRUE,generation-iii,0,Base,FALSE,1,3,gray,180,16,132,330,50,70,100,40,40,30
lairon,305,steel,rock,TRUE,generation-iii,0,Base,FALSE,2,3,gray,90,35,265,430,60,90,140,50,50,40
aggron,306,steel,rock,TRUE,generation-iii,0,Base,FALSE,3,3,gray,45,83,794,530,70,110,180,60,60,50
aggron-mega,306,steel,,FALSE,generation-iii,1,Mega,TRUE,3,3,gray,45,87,871,630,70,140,230,60,80,50
meditite,307,fighting,psychic,TRUE,generation-iii,0,Base,FALSE,1,2,blue,180,24,25,280,30,40,55,40,55,60
medicham,308,fighting,psychic,TRUE,generation-iii,0,Base,FALSE,2,2,red,90,51,69,410,60,60,75,60,75,80
medicham-mega,308,fighting,psychic,TRUE,generation-iii,1,Mega,TRUE,2,2,red,90,51,69,510,60,100,85,80,85,100
electrike,309,electric,,FALSE,generation-iii,0,Base,FALSE,1,2,green,120,24,34,295,40,45,40,65,40,65
manectric,310,electric,,FALSE,generation-iii,0,Base,FALSE,2,2,yellow,45,59,89,475,70,75,60,105,60,105
manectric-mega,310,electric,,FALSE,generation-iii,1,Mega,TRUE,2,2,yellow,45,71,97,575,70,75,80,135,80,135
plusle,311,electric,,FALSE,generation-iii,0,Base,FALSE,1,1,yellow,200,16,9,405,60,50,40,85,75,95
minun,312,electric,,FALSE,generation-iii,0,Base,FALSE,1,1,yellow,200,16,9,405,60,40,50,75,85,95
volbeat,313,bug,,FALSE,generation-iii,0,Base,FALSE,1,1,gray,150,28,39,430,65,73,75,47,85,85
illumise,314,bug,,FALSE,generation-iii,0,Base,FALSE,1,1,purple,150,24,39,430,65,47,75,73,85,85
roselia,315,grass,poison,TRUE,generation-iii,0,Base,FALSE,2,3,green,150,12,4,400,50,60,45,100,80,65
gulpin,316,poison,,FALSE,generation-iii,0,Base,FALSE,1,2,green,225,16,23,302,70,43,53,43,53,40
swalot,317,poison,,FALSE,generation-iii,0,Base,FALSE,2,2,purple,75,67,176,467,100,73,83,73,83,55
carvanha,318,water,dark,TRUE,generation-iii,0,Base,FALSE,1,2,red,225,31,46,305,45,90,20,65,20,65
sharpedo,319,water,dark,TRUE,generation-iii,0,Base,FALSE,2,2,blue,60,71,196,460,70,120,40,95,40,95
sharpedo-mega,319,water,dark,TRUE,generation-iii,1,Mega,TRUE,2,2,blue,60,98,287,560,70,140,70,110,65,105
wailmer,320,water,,FALSE,generation-iii,0,Base,FALSE,1,2,blue,125,79,287,400,130,70,35,70,35,60
wailord,321,water,,FALSE,generation-iii,0,Base,FALSE,2,2,blue,60,571,877,500,170,90,45,90,45,60
numel,322,fire,ground,TRUE,generation-iii,0,Base,FALSE,1,2,yellow,255,28,53,305,60,60,40,65,45,35
camerupt,323,fire,ground,TRUE,generation-iii,0,Base,FALSE,2,2,red,150,75,485,460,70,100,70,105,75,40
camerupt-mega,323,fire,ground,TRUE,generation-iii,1,Mega,TRUE,2,2,red,150,98,707,560,70,120,100,145,105,20
torkoal,324,fire,,FALSE,generation-iii,0,Base,FALSE,1,1,brown,90,20,177,470,70,85,140,85,70,20
spoink,325,psychic,,FALSE,generation-iii,0,Base,FALSE,1,2,black,255,28,67,330,60,25,35,70,80,60
grumpig,326,psychic,,FALSE,generation-iii,0,Base,FALSE,2,2,purple,60,35,158,470,80,45,65,90,110,80
spinda,327,normal,,FALSE,generation-iii,0,Base,FALSE,1,1,brown,255,43,11,360,60,60,60,60,60,60
trapinch,328,ground,,FALSE,generation-iii,0,Base,FALSE,1,3,brown,255,28,33,290,45,100,45,45,45,10
vibrava,329,ground,dragon,TRUE,generation-iii,0,Base,FALSE,2,3,green,120,43,34,340,50,70,50,50,50,70
flygon,330,ground,dragon,TRUE,generation-iii,0,Base,FALSE,3,3,green,45,79,181,520,80,100,80,80,80,100
cacnea,331,grass,,FALSE,generation-iii,0,Base,FALSE,1,2,green,190,16,113,335,50,85,40,85,40,35
cacturne,332,grass,dark,TRUE,generation-iii,0,Base,FALSE,2,2,green,60,51,171,475,70,115,60,115,60,55
swablu,333,normal,flying,TRUE,generation-iii,0,Base,FALSE,1,2,blue,255,16,3,310,45,40,60,40,75,50
altaria,334,dragon,flying,TRUE,generation-iii,0,Base,FALSE,2,2,blue,45,43,45,490,75,70,90,70,105,80
altaria-mega,334,dragon,fairy,TRUE,generation-iii,1,Mega,TRUE,2,2,blue,45,59,45,590,75,110,110,110,105,80
zangoose,335,normal,,FALSE,generation-iii,0,Base,FALSE,1,1,white,90,51,89,458,73,115,60,60,60,90
seviper,336,poison,,FALSE,generation-iii,0,Base,FALSE,1,1,black,90,106,116,458,73,100,60,100,60,65
lunatone,337,rock,psychic,TRUE,generation-iii,0,Base,FALSE,1,1,yellow,45,39,370,460,90,55,65,95,85,70
solrock,338,rock,psychic,TRUE,generation-iii,0,Base,FALSE,1,1,red,45,47,340,460,90,95,85,55,65,70
barboach,339,water,ground,TRUE,generation-iii,0,Base,FALSE,1,2,gray,190,16,4,288,50,48,43,46,41,60
whiscash,340,water,ground,TRUE,generation-iii,0,Base,FALSE,2,2,blue,75,35,52,468,110,78,73,76,71,60
corphish,341,water,,FALSE,generation-iii,0,Base,FALSE,1,2,red,205,24,25,308,43,80,65,50,35,35
crawdaunt,342,water,dark,TRUE,generation-iii,0,Base,FALSE,2,2,red,155,43,72,468,63,120,85,90,55,55
baltoy,343,ground,psychic,TRUE,generation-iii,0,Base,FALSE,1,2,brown,255,20,47,300,40,40,55,40,70,55
claydol,344,ground,psychic,TRUE,generation-iii,0,Base,FALSE,2,2,black,90,59,238,500,60,70,105,70,120,75
lileep,345,rock,grass,TRUE,generation-iii,0,Base,FALSE,1,2,purple,45,39,52,355,66,41,77,61,87,23
cradily,346,rock,grass,TRUE,generation-iii,0,Base,FALSE,2,2,green,45,59,133,495,86,81,97,81,107,43
anorith,347,rock,bug,TRUE,generation-iii,0,Base,FALSE,1,2,gray,45,28,28,355,45,95,50,40,50,75
armaldo,348,rock,bug,TRUE,generation-iii,0,Base,FALSE,2,2,gray,45,59,150,495,75,125,100,70,80,45
feebas,349,water,,FALSE,generation-iii,0,Base,FALSE,1,2,brown,255,24,16,200,20,15,20,10,55,80
milotic,350,water,,FALSE,generation-iii,0,Base,FALSE,2,2,pink,60,244,357,540,95,60,79,100,125,81
castform,351,normal,,FALSE,generation-iii,0,Base,FALSE,1,1,gray,45,12,2,420,70,70,70,70,70,70
castform-sunny,351,fire,,FALSE,generation-iii,0,Sunny,TRUE,1,1,gray,45,12,2,420,70,70,70,70,70,70
castform-rainy,351,water,,FALSE,generation-iii,0,Rainy,TRUE,1,1,gray,45,12,2,420,70,70,70,70,70,70
castform-snowy,351,ice,,FALSE,generation-iii,0,Snowy,TRUE,1,1,gray,45,12,2,420,70,70,70,70,70,70
kecleon,352,normal,,FALSE,generation-iii,0,Base,FALSE,1,1,green,200,39,49,440,60,90,70,60,120,40
shuppet,353,ghost,,FALSE,generation-iii,0,Base,FALSE,1,2,black,225,24,5,295,44,75,35,63,33,45
banette,354,ghost,,FALSE,generation-iii,0,Base,FALSE,2,2,black,45,43,28,455,64,115,65,83,63,65
banette-mega,354,ghost,,FALSE,generation-iii,1,Mega,TRUE,2,2,black,45,47,29,555,64,165,75,93,83,75
duskull,355,ghost,,FALSE,generation-iii,0,Base,FALSE,1,3,black,190,31,33,295,20,40,90,30,90,25
dusclops,356,ghost,,FALSE,generation-iii,0,Base,FALSE,2,3,black,90,63,67,455,40,70,130,60,130,25
tropius,357,grass,flying,TRUE,generation-iii,0,Base,FALSE,1,1,green,200,79,220,460,99,68,83,72,87,51
chimecho,358,psychic,,FALSE,generation-iii,0,Base,FALSE,2,2,blue,45,24,2,455,75,50,80,95,90,65
absol,359,dark,,FALSE,generation-iii,0,Base,FALSE,1,1,white,30,47,104,465,65,130,60,75,60,75
absol-mega,359,dark,,FALSE,generation-iii,1,Mega,TRUE,1,1,white,30,47,108,565,65,150,60,115,60,115
wynaut,360,psychic,,FALSE,generation-iii,0,Base,FALSE,1,2,blue,125,24,31,260,95,23,48,23,48,23
snorunt,361,ice,,FALSE,generation-iii,0,Base,FALSE,1,2,gray,190,28,37,300,50,50,50,50,50,50
glalie,362,ice,,FALSE,generation-iii,0,Base,FALSE,2,2,gray,75,59,565,480,80,80,80,80,80,80
glalie-mega,362,ice,,FALSE,generation-iii,1,Mega,TRUE,2,2,gray,75,83,772,580,80,120,80,120,80,100
spheal,363,ice,water,TRUE,generation-iii,0,Base,FALSE,1,3,blue,255,31,87,290,70,40,50,55,50,25
sealeo,364,ice,water,TRUE,generation-iii,0,Base,FALSE,2,3,blue,120,43,193,410,90,60,70,75,70,45
walrein,365,ice,water,TRUE,generation-iii,0,Base,FALSE,3,3,blue,45,55,332,530,110,80,90,95,90,65
clamperl,366,water,,FALSE,generation-iii,0,Base,FALSE,1,2,blue,255,16,116,345,35,64,85,74,55,32
huntail,367,water,,FALSE,generation-iii,0,Base,FALSE,2,2,blue,60,67,60,485,55,104,105,94,75,52
gorebyss,368,water,,FALSE,generation-iii,0,Base,FALSE,2,2,pink,60,71,50,485,55,84,105,114,75,52
relicanth,369,water,rock,TRUE,generation-iii,0,Base,FALSE,1,1,gray,25,39,52,485,100,90,130,45,65,55
luvdisc,370,water,,FALSE,generation-iii,0,Base,FALSE,1,1,pink,225,24,19,330,43,30,55,40,65,97
